point_id;point_type_id;Date;rre150h0
1;1;202605162200;0.0
1;1;202605162300;0.0
1;1;202605170000;0.0
1;1;202605170100;0.0
1;1;202605170200;0.0
1;1;202605170300;0.0
1;1;202605170400;0.0
1;1;202605170500;0.0
1;1;202605170600;0.0
1;1;202605170700;0.0
1;1;202605170800;0.0
1;1;202605170900;0.0
1;1;202605171000;0.0
1;1;202605171100;0.0
1;1;202605171200;0.0
1;1;202605171300;0.0
1;1;202605171400;0.0
1;1;202605171500;0.0
1;1;202605171600;0.0
1;1;202605171700;0.0
1;1;202605171800;0.0
1;1;202605171900;0.0
1;1;202605172000;0.0
1;1;202605172100;0.0
1;1;202605172200;0.0
1;1;202605172300;0.0
1;1;202605180000;0.0
1;1;202605180100;0.0
1;1;202605180200;0.0
1;1;202605180300;0.0
1;1;202605180400;0.0
1;1;202605180500;0.0
1;1;202605180600;0.0
1;1;202605180700;0.0
1;1;202605180800;0.0
1;1;202605180900;0.0
1;1;202605181000;0.0
1;1;202605181100;0.0
1;1;202605181200;0.0
1;1;202605181300;0.0
1;1;202605181400;0.0
1;1;202605181500;0.0
1;1;202605181600;0.0
1;1;202605181700;0.2
1;1;202605181800;0.2
1;1;202605181900;0.2
1;1;202605182000;0.3
1;1;202605182100;0.3
1;1;202605182200;0.2
1;1;202605182300;0.0
1;1;202605190000;0.0
1;1;202605190100;0.0
1;1;202605190200;0.0
1;1;202605190300;0.0
1;1;202605190400;0.0
1;1;202605190500;0.0
1;1;202605190600;0.0
1;1;202605190700;0.0
1;1;202605190800;0.0
1;1;202605190900;0.0
1;1;202605191000;0.0
1;1;202605191100;0.0
1;1;202605191200;0.0
1;1;202605191300;0.0
1;1;202605191400;0.0
1;1;202605191500;0.0
1;1;202605191600;0.0
1;1;202605191700;0.0
1;1;202605191800;0.0
1;1;202605191900;0.0
1;1;202605192000;0.0
1;1;202605192100;0.0
1;1;202605192200;0.0
1;1;202605192300;0.0
1;1;202605200000;0.0
1;1;202605200100;0.0
1;1;202605200200;0.0
1;1;202605200300;0.0
1;1;202605200400;0.0
1;1;202605200500;0.0
1;1;202605200600;0.0
1;1;202605200700;0.0
1;1;202605200800;0.0
1;1;202605200900;0.0
1;1;202605201000;0.0
1;1;202605201100;0.0
1;1;202605201200;0.0
1;1;202605201300;0.0
1;1;202605201400;0.0
1;1;202605201500;0.0
1;1;202605201600;0.0
1;1;202605201700;0.0
1;1;202605201800;0.0
1;1;202605201900;0.0
1;1;202605202000;0.0
1;1;202605202100;0.0
1;1;202605202200;0.0
1;1;202605202300;0.0
1;1;202605210000;0.0
1;1;202605210100;0.0
1;1;202605210200;0.0
1;1;202605210300;0.0
1;1;202605210400;0.0
1;1;202605210500;0.0
1;1;202605210600;0.0
1;1;202605210700;0.0
1;1;202605210800;0.0
1;1;202605210900;0.0
1;1;202605211000;0.0
1;1;202605211100;0.0
1;1;202605211200;0.0
1;1;202605211300;0.0
1;1;202605211400;0.0
1;1;202605211500;0.0
1;1;202605211600;0.0
1;1;202605211700;0.0
1;1;202605211800;0.0
1;1;202605211900;0.0
1;1;202605212000;0.0
1;1;202605212100;0.0
1;1;202605212200;0.0
1;1;202605212300;0.0
1;1;202605220000;0.0
1;1;202605220100;0.0
1;1;202605220200;0.0
1;1;202605220300;0.0
1;1;202605220400;0.0
1;1;202605220500;0.0
1;1;202605220600;0.0
1;1;202605220700;0.0
1;1;202605220800;0.0
1;1;202605220900;0.0
1;1;202605221000;0.0
1;1;202605221100;0.0
1;1;202605221200;0.0
1;1;202605221300;0.0
1;1;202605221400;0.0
1;1;202605221500;0.0
1;1;202605221600;0.0
1;1;202605221700;0.0
1;1;202605221800;0.0
1;1;202605221900;0.0
1;1;202605222000;0.0
1;1;202605222100;0.0
1;1;202605222200;0.0
1;1;202605222300;0.0
1;1;202605230000;0.0
1;1;202605230100;0.0
1;1;202605230200;0.0
1;1;202605230300;0.0
1;1;202605230400;0.0
1;1;202605230500;0.0
1;1;202605230600;0.0
1;1;202605230700;0.0
1;1;202605230800;0.0
1;1;202605230900;0.0
1;1;202605231000;0.0
1;1;202605231100;0.0
1;1;202605231200;0.0
1;1;202605231300;0.0
1;1;202605231400;0.0
1;1;202605231500;0.0
1;1;202605231600;0.0
1;1;202605231700;0.0
1;1;202605231800;0.0
1;1;202605231900;0.0
1;1;202605232000;0.0
1;1;202605232100;0.0
1;1;202605232200;0.0
1;1;202605232300;0.0
1;1;202605240000;0.0
1;1;202605240100;0.0
1;1;202605240200;0.0
1;1;202605240300;0.0
1;1;202605240400;0.0
1;1;202605240500;0.0
1;1;202605240600;0.0
1;1;202605240700;0.0
1;1;202605240800;0.0
1;1;202605240900;0.0
1;1;202605241000;0.0
1;1;202605241100;0.0
1;1;202605241200;0.0
1;1;202605241300;0.0
1;1;202605241400;0.0
1;1;202605241500;0.0
1;1;202605241600;0.0
1;1;202605241700;0.0
1;1;202605241800;0.0
1;1;202605241900;0.0
1;1;202605242000;0.0
1;1;202605242100;0.0
1;1;202605242200;0.0
1;1;202605242300;0.0
1;1;202605250000;0.0
1;1;202605250100;0.0
1;1;202605250200;0.0
1;1;202605250300;0.0
1;1;202605250400;0.0
